title,slug,published,source_url,pdf_url,status,file_path,note
Inferring Optical Tissue Properties from Photoplethysmography using Hybrid Amortized Inference,inferring-optical-tissue,2026-01-09,https://arxiv.org/abs/2510.02073,https://arxiv.org/pdf/2510.02073.pdf,downloaded,/Users/codex/Lab/01_monitoring/industry/01-apple/2026-01-09_inferring-optical-tissue.pdf,
Assessing the Feasibility of Large-Scale Digital Sensing for Depression and Anxiety: The Digital Mental Health Study,digital-mental-health,2025-12-10,https://www.medrxiv.org/content/10.1101/2025.10.01.25337105v1,,downloaded,/Users/codex/Lab/01_monitoring/industry/01-apple/2025-12-10_digital-mental-health.pdf,
Hybrid Modeling of Photoplethysmography for Non-Invasive Monitoring of Cardiovascular Parameters,photoplethysmography,2025-12-02,https://arxiv.org/abs/2511.14452,https://arxiv.org/pdf/2511.14452.pdf,downloaded,/Users/codex/Lab/01_monitoring/industry/01-apple/2025-12-02_photoplethysmography.pdf,
Learning the Relative Composition of EEG Signals Using Pairwise Relative Shift Pretraining,relative-composition-eeg,2025-11-20,https://arxiv.org/abs/2511.11940,https://arxiv.org/pdf/2511.11940.pdf,downloaded,/Users/codex/Lab/01_monitoring/industry/01-apple/2025-11-20_relative-composition-eeg.pdf,
Speech Foundation Models Generalize to Time Series Tasks from Wearable Sensor Data,speech-foundation,2025-11-20,https://www.arxiv.org/abs/2509.00221,https://www.arxiv.org/pdf/2509.00221.pdf,downloaded,/Users/codex/Lab/01_monitoring/industry/01-apple/2025-11-20_speech-foundation.pdf,
Beyond Sensor Data: Foundation Models of Behavioral Data from Wearables Improve Health Predictions,beyond-sensor,2025-07-11,https://arxiv.org/abs/2507.00191v1,https://arxiv.org/pdf/2507.00191v1.pdf,downloaded,/Users/codex/Lab/01_monitoring/industry/01-apple/2025-07-11_beyond-sensor.pdf,
Foundation Model Hidden Representations for Heart Rate Estimation from Auscultation,heart-rate-estimation,2025-05-28,https://arxiv.org/abs/2505.20745,https://arxiv.org/pdf/2505.20745.pdf,downloaded,/Users/codex/Lab/01_monitoring/industry/01-apple/2025-05-28_heart-rate-estimation.pdf,
Wearable Accelerometer Foundation Models for Health via Knowledge Distillation,wearable-accelerometer-foundation-models,2025-02-20,https://arxiv.org/abs/2412.11276,https://arxiv.org/pdf/2412.11276.pdf,downloaded,/Users/codex/Lab/01_monitoring/industry/01-apple/2025-02-20_wearable-accelerometer-foundation-models.pdf,
Mapping Cells Through Time and Space With Moscot,mapping-cells-through-time,2025-01-22,https://www.nature.com/articles/s41586-024-08453-2,,downloaded,/Users/codex/Lab/01_monitoring/industry/01-apple/2025-01-22_mapping-cells-through-time.pdf,
Leveraging Periodicity for Robustness with Multi-modal Mood Pattern Models,leveraging-periodicity,2024-12-03,https://openreview.net/forum?id=C84umKUkpn,https://openreview.net/pdf?id=C84umKUkpn,downloaded,/Users/codex/Lab/01_monitoring/industry/01-apple/2024-12-03_leveraging-periodicity.pdf,
