财报类型,股票代码,上市公司,年报,年报,年报,年报,年报,年报,年报,年报,年报
日期,="000651",="格力电器",2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31
日期,="000333",="美的集团",2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31
货币,="000651",="格力电器",元,元,元,元,元,元,元,元,元
货币,="000333",="美的集团",元,元,元,元,元,元,元,元,元
一、营业总收入,="000651",="格力电器",=190038071605,=205018123834,=190150672542,=189654033524,=170497415702,=200508333611,=200023997744,=150019551612,=110113101850
一、营业总收入,="000333",="美的集团",=409084266000,=373709804000,=345708706000,=343360825000,=285709729000,=279380506000,=261819635000,=241918896000,=159841701000
营业收入,="000651",="格力电器",=189163654065,=203979266387,=188988382707,=187868874893,=168199204405,=198153027540,=198123177057,=148286450009,=108302565294
营业收入,="000333",="美的集团",=407149600000,=372037280000,=343917531000,=341233208000,=284221249000,=278216017000,=259664820000,=240712301000,=159044041000
利息收入,="000651",="格力电器",=874417457,=1038856838,=1162289741,=1785060001,=2295972687,=2351471965,=1899287824,=1731806536,=1809581652
利息收入,="000333",="美的集团",=1934090000,=1671908000,=1790454000,=2127043000,=1488211000,=1163180000,=2154392000,=1206582000,=789414000
已赚保费,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
已赚保费,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
手续费及佣金收入,="000651",="格力电器",=83,=609,=94,=98630,=2238611,=3834106,=1532863,=1295067,=954905
手续费及佣金收入,="000333",="美的集团",=576000,=616000,=721000,=574000,=269000,=1309000,=423000,=13000,=8246000
其他业务收入,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
其他业务收入,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
二、营业总成本,="000651",="格力电器",=154868311111,=170774052192,=162107253848,=163521848332,=146260681865,=170723573765,=169589329247,=124698812664,=91529379825
二、营业总成本,="000333",="美的集团",=367872636000,=335012545000,=311691527000,=312777887000,=258752437000,=251317888000,=237634370000,=224734592000,=143809063000
营业成本,="000651",="格力电器",=133496119623,=141625549747,=139784387883,=142251638590,=124229033681,=143499372581,=138234167710,=99562912753,=72885641217
营业成本,="000333",="美的集团",=299584935000,=273481373000,=260538701000,=264525999000,=212839592000,=197913928000,=188164557000,=180460552000,=115615437000
毛利率(GM),="000651",="格力电器",=0.2943,=0.3057,=0.2604,=0.2428,=0.2614,=0.2758,=0.3023,=0.3286,=0.3270
毛利率(GM),="000333",="美的集团",=0.2642,=0.2649,=0.2424,=0.2248,=0.2511,=0.2886,=0.2754,=0.2503,=0.2731
利息支出,="000651",="格力电器",=158700589,=126399291,=82118836,=523238956,=304448122,=110579966,=45341947,=195890946,=93317462
利息支出,="000333",="美的集团",=1883000,=31660000,=49461000,=87066000,=105168000,=-122618000,=189490000,=250925000,=439607000
手续费及佣金支出,="000651",="格力电器",=364497,=503530,=423035,=815760,=516319,=603394,=657689,=489638,=333543
手续费及佣金支出,="000333",="美的集团",=3157000,=3572000,=7681000,=13015000,=6972000,=11633000,=3214000,=2717000,=2839000
退保金,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
退保金,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
保险合同赔付支出,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
