财报类型,股票代码,上市公司,年报,年报,年报,年报,年报,年报,年报,年报,年报
日期,="000651",="格力电器",2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31
日期,="000333",="美的集团",2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31
货币,="000651",="格力电器",元,元,元,元,元,元,元,元,元
货币,="000333",="美的集团",元,元,元,元,元,元,元,元,元
经营活动产生的现金流量,,,,,,,,,,,
销售商品、提供劳务收到的现金,="000651",="格力电器",=171937113993,=222450716186,=191722692751,=169646517566,=155890384314,=166387697954,=135029126383,=107599120105,=69896621293
销售商品、提供劳务收到的现金,="000333",="美的集团",=388661338000,=356076005000,=316997825000,=310489824000,=240052501000,=238815589000,=211230723000,=195820338000,=153324273000
发放贷款及垫款的净减少额,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
发放贷款及垫款的净减少额,="000333",="美的集团",=3979158000,=0,=6660035000,=0,=0,=0,=864209000,=0,=0
客户存款和同业及其他金融机构存放款项净增加额,="000651",="格力电器",=50560729,=35681305,=36042751,=-78563389,=-92506750,=31898182,=48934991,=121702928,=-421370376
客户存款和同业及其他金融机构存放款项净增加额,="000333",="美的集团",=48384000,=11491000,=0,=0,=25058000,=18091000,=0,=72218000,=0
向中央银行借款净增加额,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=-4274000,=-3726000
向中央银行借款净增加额,="000333",="美的集团",=0,=0,=0,=178878000,=0,=693023000,=99754000,=0,=286915000
向其他金融机构拆入资金净增加额,="000651",="格力电器",=0,=0,=-300000000,=0,=-700000000,=1000000000,=0,=0,=0
向其他金融机构拆入资金净增加额,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
收到原保险合同保费取得的现金,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
收到原保险合同保费取得的现金,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
收到再保险业务现金净额,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
收到再保险业务现金净额,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
保户储金及投资款净增加额,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
保户储金及投资款净增加额,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
为交易目的而持有的金融资产净减少额,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
为交易目的而持有的金融资产净减少额,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
拆入资金净增加额,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
拆入资金净增加额,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
卖出回购业务资金净增加额,="000651",="格力电器",=0,=0,=-746500000,=271500000,=475000000,=2074500000,=0,=0,=0
卖出回购业务资金净增加额,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
收取利息、手续费及佣金的现金,="000651",="格力电器",=690447891,=404330867,=316385823,=955723979,=1137265616,=1051389792,=1208127832,=1587554427,=1965747102
收取利息、手续费及佣金的现金,="000333",="美的集团",=1936687000,=1691771000,=1788062000,=1889716000,=1381851000,=1315921000,=2174661000,=1175477000,=783936000
代理买卖证券收到的现金净额,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
