财报类型,股票代码,上市公司,年报,年报,年报,年报,年报,年报,年报,年报,年报
日期,="000651",="格力电器",2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31
日期,="000333",="美的集团",2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31
货币,="000651",="格力电器",元,元,元,元,元,元,元,元,元
货币,="000333",="美的集团",元,元,元,元,元,元,元,元,元
一、资产总计,="000651",="格力电器",=368031704523,=368053902576,=355024758879,=319598183780,=279217923628,=282972157415,=251234157277,=214967999328,=182369705049
一、资产总计,="000333",="美的集团",=604351853000,=486038184000,=422555267000,=387946104000,=360382603000,=301955419000,=263701148000,=248106858000,=170600711000
净营运资本,="000651",="格力电器",=-88728564175,=-90595477028,=-77048345741,=-78703687829,=-76192045859,=-86817482207,=-68963919576,=-69352018676,=-71622193430
净营运资本,="000333",="美的集团",=-144738896000,=-117655574000,=-88393906000,=-91207960000,=-85411871000,=-68666287000,=-54734733000,=-54014867000,=-26391643000
流动资产合计,="000651",="格力电器",=224802908652,=228141309471,=255140038972,=225849652179,=213632987165,=213364040965,=199710948769,=171534646159,=142910783532
流动资产合计,="000333",="美的集团",=389063786000,=281320980000,=261099271000,=248864505000,=241655325000,=216482692000,=182689438000,=169810676000,=120621320000
流动资产占比,="000651",="格力电器",=0.6108,=0.6199,=0.7187,=0.7067,=0.7651,=0.7540,=0.7949,=0.7980,=0.7836
流动资产占比,="000333",="美的集团",=0.6438,=0.5788,=0.6179,=0.6415,=0.6706,=0.7169,=0.6928,=0.6844,=0.7070
货币资金,="000651",="格力电器",=113900461798,=124104987290,=157484332251,=116939298777,=136413143860,=125400715268,=113079030368,=99610431730,=95613130731
货币资金,="000333",="美的集团",=140410308000,=81673846000,=55270099000,=71875556000,=81210482000,=70916841000,=27888280000,=48274200000,=17196070000
货币资金占比,="000651",="格力电器",=0.3095,=0.3372,=0.4436,=0.3659,=0.4886,=0.4432,=0.4501,=0.4634,=0.5243
货币资金占比,="000333",="美的集团",=0.2323,=0.1680,=0.1308,=0.1853,=0.2253,=0.2349,=0.1058,=0.1946,=0.1008
结算备付金,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
结算备付金,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
拆出资金,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
拆出资金,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
交易性金融资产,="000651",="格力电器",=16548258632,=9614423403,=3867203364,=0,=370820500,=955208584,=1012470387,=602045597,=0
交易性金融资产,="000333",="美的集团",=6936113000,=1790588000,=3284593000,=5879202000,=28239601000,=1087351000,=0,=0,=0
衍生金融资产(流动),="000651",="格力电器",=0,=108919513,=0,=198773199,=285494154,=0,=170216139,=481055568,=250848419
衍生金融资产(流动),="000333",="美的集团",=2449535000,=1278161000,=665484000,=545865000,=420494000,=197412000,=220197000,=353327000,=412813000
应收票据及应收账款,="000651",="格力电器",=16831887388,=16186817249,=14831561052,=13840898803,=8738230905,=8513334545,=43611226866,=38070905179,=32923890129
应收票据及应收账款,="000333",="美的集团",=42517549000,=38406699000,=32996102000,=29421354000,=28282873000,=23432339000,=31946468000,=28382943000,=20881999000
(其中)应收票据,="000651",="格力电器",=0,=87340131,=6818429,=0,=0,=0,=35911567876,=32256413538,=29963355478
